Title,Address,Body,Date
"
                        科研人员全职 ,
                    ","
                            北京
                            
                        ","岗位职责：,1. 完成前期产品市场需求、同类产品市场资料的收集；,2. 根据产品需求，撰写详细的产品流程设计文档、产品界面及原型设计文档；,3. 负责与研发、设计、测试等部门沟通，确保协作部门对产品文档有充分的理解；,4. 引导设计师完成产品的界面设计，协调开发人员进行开发工作，推动及协调产品的开发进度，把控项目质量；,5. 收集用户反馈，分析用户行为及需求，对产品进行持续的优化和改进；,6. 对产品数据进行监控，提供客户支持，提升整体产品的用户满意度。1",2017-03-28
"
                        散热设计工程师 ,
                    ","
                            深圳
                            
                        ","1、笔记本样机测试及报告整理等相关工作；,2.参与产品可靠性物料选型和检测工作； ,3.参与散热设计，防尘和噪声控制等相关分析。",2017-03-27
"
                        储备销售经理 ,
                    ","
                            北京
                            
                        ","专业要求：不限,学历要求：本科以上,学校要求：211/985,岗位职责： ,1、负责服务器，存储等公司产品的销售工作；,2、负责行业市场分析，把握市场发展动态，收集、分析、整理、归档客户需求；,3、负责销售计划达成，分解、落实销售目标，跟踪和评估销售目标达成情况；,4、负责客户关系维护，对行业细分客户进行开拓和公关，实现产品销售；,5、积极支持公司市场活动，完成其他组织交办事务。,岗位要求：,1. 基本IT知识：对服务器、存储等产品结构、大数据、云计算等技术发展方向有一定理解；,2. 成功的欲望：希望出色地完成任务并愿意从事挑战性工作，在巨大的工作压力下不抱怨、不抛弃不放弃，且能长期保持强烈的工作激情与热情，结果导向；,3. 有效沟通能力：乐于沟通，能快速与不同交际风格的人达成默契，快速从业务关系转换成人际关系，并不断维系与发展，且能快速洞察他人动机与需求，引导其思维及采购倾向性。,(本科以上学历，专业不限,工作地点：北京为主),需要实习",2017-03-27
"
                        Layout工程师 ,
                    ","
                            深圳
                            
                        ","1.能够完成主导工程师分配的部分零件布局，走线，绕等长。丝印摆放等各项任务；,2.能够独立完成改板工作项目；,3.协助主导工程师完成新项目。",2017-03-27
"
                        设计学徒提供住宿 ,
                    ","
                            成都
                            
                        ","岗位职责：,1、产品包装设计,2、新产品LOGO设计,3、公司宣传册、海报设计,4、愿意跟着公司前辈学习，脚踏实地，有团队合作精神,注：可接收应届生，专业不限 。,岗位要求:,1、 试用期一个月【培训项目：了解企业文化，掌握产品,一个月后转正。】,2、 学习使用Photoshop、Flash、CAD 等相关平面设计软件,3、无经者愿意从基层做起，公司带薪培训。,4、工作认真，有责任心，踏实肯干，富有团队精神；,5、具备良好的美术基础，良好的创意构思能力。,福利待遇：,根据公司发展需求针对零基础提供助理岗位//做项目有工程师带// 态度一定要端正；,实习助理薪资：会根据你的考勤/态度/综合素质/以及做项目积极性/配合公司安排/,综合收入加提成3000以上(转正4000)// 具体面议；（薪资均以能力来定）,3、福利待遇：早九晚六// 中午休息两个小时// 周末双休// 国家规定节假日休息//,公司全体有热水咖啡提供// 员工生日有礼物；,联系人：黄女士,联系电话：18190906778,联系QQ：2919772631,简历投递邮箱：2919772631@qq.com,本岗位欢迎理科相关应届毕业生 投递简历到邮箱优先考虑录用 ",2017-03-24
"
                        信号测试工程师 ,
                    ","
                            深圳
                            
                        ","1、编写信号测试计划；,2、搭建信号测试环境并执行信号测试计划；,3、分析并解决信号测试过程中的信号问题；,4、输出测试报告。",2017-03-27
"
                        美工/平面/网页设计师 ,
                    ","
                            成都
                            
                        ","岗位职责：,1、产品包装设计,2、新产品LOGO设计,3、公司宣传册、海报设计,4、愿意跟着公司前辈学习，脚踏实地，有团队合作精神,注：可接收应届生，专业不限 。,岗位要求:,1、 试用期一个月【培训项目：了解企业文化，掌握产品,一个月后转正。】,2、 学习使用Photoshop、Flash、CAD 等相关平面设计软件,3、无经者愿意从基层做起，公司带薪培训。,4、工作认真，有责任心，踏实肯干，富有团队精神；,5、具备良好的美术基础，良好的创意构思能力。,福利待遇：,根据公司发展需求针对零基础提供助理岗位//做项目有工程师带// 态度一定要端正；,实习助理薪资：会根据你的考勤/态度/综合素质/以及做项目积极性/配合公司安排/,综合收入加提成3000以上(转正4000)// 具体面议；（薪资均以能力来定）,3、福利待遇：早九晚六// 中午休息两个小时// 周末双休// 国家规定节假日休息//,公司全体有热水咖啡提供// 员工生日有礼物；,联系人：黄女士,联系电话：18190906778,联系QQ：2919772631,简历投递邮箱：2919772631@qq.com,本岗位欢迎理科相关应届毕业生 投递简历到邮箱优先考虑录用 ",2017-03-24
"
                        硬件工程师 ,
                    ","
                            深圳
                            
                        ","1、器件选型料号申请；,2、制作硬件设计方案；,3、原理图设计；,4、BOM制作发行；,5、处理SMT过程中问题；,6、主板调试以及测试过程中问题分析解决；,7、协助分析处理产线突发问题；,8、完成上级交代的临时任务。",2017-03-27
"
                        视觉设计师助理 ,
                    ","
                            成都
                            
                        ","岗位职责：,1、产品包装设计,2、新产品LOGO设计,3、公司宣传册、海报设计,4、愿意跟着公司前辈学习，脚踏实地，有团队合作精神,注：可接收应届生，专业不限 。,岗位要求:,1、 试用期一个月【培训项目：了解企业文化，掌握产品,一个月后转正。】,2、 学习使用Photoshop、Flash、CAD 等相关平面设计软件,3、无经者愿意从基层做起，公司带薪培训。,4、工作认真，有责任心，踏实肯干，富有团队精神；,5、具备良好的美术基础，良好的创意构思能力。,福利待遇：,根据公司发展需求针对零基础提供助理岗位//做项目有工程师带// 态度一定要端正；,实习助理薪资：会根据你的考勤/态度/综合素质/以及做项目积极性/配合公司安排/,综合收入加提成3000以上(转正4000)// 具体面议；（薪资均以能力来定）,3、福利待遇：早九晚六// 中午休息两个小时// 周末双休// 国家规定节假日休息//,公司全体有热水咖啡提供// 员工生日有礼物；,联系人：黄女士,联系电话：18190906778,联系QQ：2919772631,简历投递邮箱：2919772631@qq.com,本岗位欢迎理科相关应届毕业生 投递简历到邮箱优先考虑录用 ",2017-03-24
"
                        ID-设计 ,
                    ","
                            深圳
                            
                        ","1、根据产品的规格，定位，客户需求，进行同类产品的资料收集。,2、对产品提出自己的创意，完成一定量的手绘2D图。,3、制作产品的外观工艺文件，输出：配色方案，外观工艺图等。,4、完成客户需求的3D效果图。",2017-03-27
